Sıra No,Modeller,Satış Fiyatı (Dolar),Satış Fiyatı (Dolar).1
,ERS,Yurtiçi,Yurtdışı
1.0,75,7500,9000
2.0,75V,7500,9000
3.0,-,8400,10000
4.0,,8400,10000
5.0,,8400,10000
6.0,,8400,10000
7.0,4407S,12500,15000
8.0,-,12500,15000
9.0,4410S,15000,18000
10.0,-,15000,18000
11.0,5510S,15900,19000
12.0,5510D,15900,19000
13.0,5512S,17100,20000
14.0,5512D,17500,20000
15.0,6610S,19500,26000
16.0,6610D,20000,26000
17.0,6613S,21200,28000
18.0,6613D,22000,28000
19.0,7712S,25000,30000
20.0,7712D,25000,30000
21.0,7715S,24000,32000
22.0,7715D,24500,32000
23.0,7717S,37500,45000
24.0,7717D,37500,45000
25.0,2000S,50000,60000
26.0,2000D,50000,60000
