Sıra No,Modeller,Unnamed: 2,Satış Fiyatı (Dolar),Satış Fiyatı (Dolar).1,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Teksteril,GOLDBERG,Yurtiçi,Yurtdışı,Hammadde Maliyeti,Üretim Maliyeti,Teslimat maliyeti
1.0,,GP40,13000,16000,3400,800,Fabrika teslim
2.0, TSP80,GP80,24000,25000,6350,1750,Fabrika teslim
3.0,TSP120,GP120,29000,29000,7250,2250,Fabrika teslim
4.0,,GP120D,29000,29000,7250,2250,Fabrika teslim
5.0,TSP135,GP135,27000,32000,7600,2250,Fabrika teslim
6.0,,GP135D,27000,32000,7600,2250,Fabrika teslim
7.0,TSP160,GP160,32000,38000,8300,2500,Fabrika teslim
8.0,,GP160D,32000,38000,8300,2500,Fabrika teslim
9.0,TSP200,GP200,35000,42000,8800,2900,Fabrika teslim
10.0,,GP200D,35000,42000,8800,2900,Fabrika teslim
11.0,,KARTUŞ,60,70,15,5,Fabrika teslim
12.0,,,,,,,Fabrika teslim
