urun_modeli,Yurtiçi,Yurtdışı,Hammadde Maliyeti,Üretim Maliyeti,Teslimat maliyeti,kategori
ERS-75,7500,9000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
ERS-75-V,7500,9000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
-,8400,10000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
ERS-4407-S,12500,15000.0,2670.0,1050.0,Fabrika teslim,OTOKLAV
-,12500,15000.0,2670.0,1050.0,Fabrika teslim,OTOKLAV
ERS-4410-S,15000,18000.0,4550.0,2250.0,Fabrika teslim,OTOKLAV
-,15000,18000.0,4550.0,2250.0,Fabrika teslim,OTOKLAV
ERS-5510-S,15900,19000.0,4680.0,2260.0,Fabrika teslim,OTOKLAV
ERS-5510-D,15900,19000.0,4680.0,2260.0,Fabrika teslim,OTOKLAV
ERS-5512-S,17100,20000.0,5300.0,2650.0,Fabrika teslim,OTOKLAV
ERS-5512-D,17500,20000.0,5300.0,2650.0,Fabrika teslim,OTOKLAV
ERS-6610-S,19500,26000.0,5705.0,3060.0,Fabrika teslim,OTOKLAV
ERS-6610-D,20000,26000.0,5705.0,3060.0,Fabrika teslim,OTOKLAV
ERS-6613-S,21200,28000.0,5950.0,3120.0,Fabrika teslim,OTOKLAV
ERS-6613-D,22000,28000.0,5950.0,3120.0,Fabrika teslim,OTOKLAV
ERS-7712-S,25000,30000.0,6710.0,3460.0,Fabrika teslim,OTOKLAV
ERS-7712-D,25000,30000.0,6710.0,3460.0,Fabrika teslim,OTOKLAV
ERS-7715-S,24000,32000.0,6200.0,3150.0,Fabrika teslim,OTOKLAV
ERS-7715-D,24500,32000.0,6200.0,3150.0,Fabrika teslim,OTOKLAV
ERS-7717-S,37500,45000.0,4750.0,2430.0,Fabrika teslim,OTOKLAV
ERS-7717-D,37500,45000.0,4750.0,2430.0,Fabrika teslim,OTOKLAV
ERS-2000-S,50000,60000.0,12200.0,4560.0,Fabrika teslim,OTOKLAV
ERS-2000-D,50000,60000.0,12200.0,4560.0,Fabrika teslim,OTOKLAV
STR-75,7500,9000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
STR-75-V,7500,9000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
-,8400,10000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
STR-4407-S,12500,15000.0,2670.0,1050.0,Fabrika teslim,OTOKLAV
-,12500,15000.0,2670.0,1050.0,Fabrika teslim,OTOKLAV
STR-4410-S,15000,18000.0,4550.0,2250.0,Fabrika teslim,OTOKLAV
-,15000,18000.0,4550.0,2250.0,Fabrika teslim,OTOKLAV
STR-5510-S,15900,19000.0,4680.0,2260.0,Fabrika teslim,OTOKLAV
STR-5510-D,15900,19000.0,4680.0,2260.0,Fabrika teslim,OTOKLAV
STR-5512-S,17100,20000.0,5300.0,2650.0,Fabrika teslim,OTOKLAV
STR-5512-D,17500,20000.0,5300.0,2650.0,Fabrika teslim,OTOKLAV
STR-6610-S,19500,26000.0,5705.0,3060.0,Fabrika teslim,OTOKLAV
STR-6610-D,20000,26000.0,5705.0,3060.0,Fabrika teslim,OTOKLAV
STR-6613-S,21200,28000.0,5950.0,3120.0,Fabrika teslim,OTOKLAV
STR-6613-D,22000,28000.0,5950.0,3120.0,Fabrika teslim,OTOKLAV
STR-7712-S,25000,30000.0,6710.0,3460.0,Fabrika teslim,OTOKLAV
STR-7712-D,25000,30000.0,6710.0,3460.0,Fabrika teslim,OTOKLAV
STR-7715-S,24000,32000.0,6200.0,3150.0,Fabrika teslim,OTOKLAV
STR-7715-D,24500,32000.0,6200.0,3150.0,Fabrika teslim,OTOKLAV
STR-7717-S,37500,45000.0,4750.0,2430.0,Fabrika teslim,OTOKLAV
STR-7717-D,37500,45000.0,4750.0,2430.0,Fabrika teslim,OTOKLAV
STR-2000-S,50000,60000.0,12200.0,4560.0,Fabrika teslim,OTOKLAV
STR-2000-D,50000,60000.0,12200.0,4560.0,Fabrika teslim,OTOKLAV
GOLDBERG-75,7500,9000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
GOLDBERG-75-V,7500,9000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
GOLDBERG-100,8400,10000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
GOLDBERG-100-V,8400,10000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
GOLDBERG-100-H,8400,10000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
GOLDBERG-100-HV,8400,10000.0,1875.0,750.0,Fabrika teslim,OTOKLAV
GOLDBERG-120-S,12500,15000.0,2670.0,1050.0,Fabrika teslim,OTOKLAV
GOLDBERG-120-D,12500,15000.0,2670.0,1050.0,Fabrika teslim,OTOKLAV
GOLDBERG-160-S,15000,18000.0,4550.0,2250.0,Fabrika teslim,OTOKLAV
GOLDBERG-160-D,15000,18000.0,4550.0,2250.0,Fabrika teslim,OTOKLAV
GOLDBERG-250-S,15900,19000.0,4680.0,2260.0,Fabrika teslim,OTOKLAV
GOLDBERG-250-D,15900,19000.0,4680.0,2260.0,Fabrika teslim,OTOKLAV
GOLDBERG-300-S,17100,20000.0,5300.0,2650.0,Fabrika teslim,OTOKLAV
GOLDBERG-300-D,17500,20000.0,5300.0,2650.0,Fabrika teslim,OTOKLAV
GOLDBERG-422-S,19500,26000.0,5705.0,3060.0,Fabrika teslim,OTOKLAV
GOLDBERG-422-D,20000,26000.0,5705.0,3060.0,Fabrika teslim,OTOKLAV
GOLDBERG-550-S,21200,28000.0,5950.0,3120.0,Fabrika teslim,OTOKLAV
GOLDBERG-550-D,22000,28000.0,5950.0,3120.0,Fabrika teslim,OTOKLAV
GOLDBERG-675-S,25000,30000.0,6710.0,3460.0,Fabrika teslim,OTOKLAV
GOLDBERG-675-D,25000,30000.0,6710.0,3460.0,Fabrika teslim,OTOKLAV
GOLDBERG-840-S,24000,32000.0,6200.0,3150.0,Fabrika teslim,OTOKLAV
GOLDBERG-840-D,24500,32000.0,6200.0,3150.0,Fabrika teslim,OTOKLAV
GOLDBERG-1000-S,37500,45000.0,4750.0,2430.0,Fabrika teslim,OTOKLAV
GOLDBERG-1000-D,37500,45000.0,4750.0,2430.0,Fabrika teslim,OTOKLAV
GOLDBERG-2000-S,50000,60000.0,12200.0,4560.0,Fabrika teslim,OTOKLAV
GOLDBERG-2000-D,50000,60000.0,12200.0,4560.0,Fabrika teslim,OTOKLAV
OXY--GOLD-2,,,,,,OKSIJEN
OXY--GOLD-3,,,,,,OKSIJEN
OXY--GOLD-4,,,,,,OKSIJEN
OXY--GOLD-5,,,,,,OKSIJEN
OXY--GOLD-7,,,,,,OKSIJEN
OXY--GOLD-11,,,,,,OKSIJEN
OXY--GOLD-15,,,,,,OKSIJEN
OXY--GOLD-18,,,,,,OKSIJEN
OXY--GOLD-22,,,,,,OKSIJEN
OXY--GOLD-30,,55000.0,13500.0,5400.0,Fabrika teslim,OKSIJEN
OXY--GOLD-37,,60000.0,1450.0,6200.0,Fabrika teslim,OKSIJEN
OXY--GOLD-45,,65000.0,1550.0,6900.0,Fabrika teslim,OKSIJEN
OXY--GOLD-55,,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY--GOLD-75,,90000.0,22500.0,8300.0,Fabrika teslim,OKSIJEN
OXY--GOLD-90,,105000.0,28500.0,9000.0,Fabrika teslim,OKSIJEN
OXY--GOLD-110,,125000.0,33500.0,10500.0,Fabrika teslim,OKSIJEN
OXY--GOLD-132,,,,,,OKSIJEN
OXY--GOLD-160,,,,,,OKSIJEN
OXY--GOLD-200,,,,,,OKSIJEN
OXY--GOLD-250,,,,,,OKSIJEN
OXY-GOLD-M-10,,,,,,OKSIJEN
OXY-GOLD-M-20,,,,,,OKSIJEN
OXY-GOLD-M-30,,,,,,OKSIJEN
OXY-GOLD-M-40,,,,,,OKSIJEN
GOLDBERG-22-V,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
GOLDBERG-45-V,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY-GOLD-11,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY-GOLD-15,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY-GOLD-18,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY-GOLD-22,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY-GOLD-3,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY-GOLD-7,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
OXY-GOLD-K15,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
STR-22-V,Yurtiçi satış yok,75000.0,17500.0,7800.0,Fabrika teslim,OKSIJEN
